matricula_pseudonimizada;cpf_pseudonimizado;nome_pseudonimizado;codigo_curso;curso;campus;situacao_academica;flag_valido;motivos_rejeicao
MAT-36ec4d926b;CPF-f1baafb72e1c;Pessoa-b0e4a399;C04;Direito;Campus Leste;FORMADO;N;INTEGRIDADE:cpf
MAT-6b7453a0a1;CPF-a5ad7e6d5225;Pessoa-bf9e8997;C01;Engenharia de Software;Campus Central;JUBILADO;N;INTEGRIDADE:cpf
MAT-7236780ad4;CPF-6b6712c76ce5;Pessoa-0bc86bd0;C02;Ciencia da Computacao;Campus Norte;CANCELADO;N;INTEGRIDADE:cpf
MAT-9c0d2d2b1f;CPF-15e2b0d3c338;Pessoa-3bd8705f;C03;Administracao;Campus Sul;ATIVO;N;INTEGRIDADE:cpf
MAT-30b9fc0fc1;CPF-c17c025fb9ed;Pessoa-afb7e6dc;C04;Direito;Campus Leste;TRANCADO;N;INTEGRIDADE:cpf
MAT-f4a5f61f4e;CPF-c775e7b757ed;Pessoa-6357d88e;C01;Engenharia de Software;Campus Central;FORMADO;N;INTEGRIDADE:cpf
MAT-7be40a2908;CPF-2a33349e7e60;Pessoa-0a4c3edb;C02;Ciencia da Computacao;Campus Norte;JUBILADO;N;INTEGRIDADE:cpf
MAT-81d1cb1124;CPF-15e2b0d3c338;Pessoa-c1c7170b;C03;Administracao;Campus Sul;CANCELADO;N;INTEGRIDADE:cpf
MAT-7ba3e48c4a;CPF-f1ba2d2189a0;Pessoa-1450b257;C01;Engenharia de Software;Campus Central;DESISTENTE;N;INTEGRIDADE:situacao_academica
MAT-96e40bfd10;CPF-73aa0d4f8c16;Pessoa-85530061;C02;Ciencia da Computacao;Campus Norte;EVADIDO;N;INTEGRIDADE:situacao_academica
MAT-312b0e641e;CPF-592f3c529b99;Pessoa-aa46206f;C03;Administracao;Campus Sul;ATIVO!;N;INTEGRIDADE:situacao_academica
MAT-e3151eb28d;CPF-959ad8a0a7c3;Pessoa-6e71576a;C02;Ciencia da Computacao;Campus Norte;INADIMPLENTE;N;INTEGRIDADE:situacao_academica
MAT-87b28a94f1;CPF-874581a4c48b;Pessoa-9752ad19;C04;Direito;Campus Leste;TRANC;N;INTEGRIDADE:situacao_academica
MAT-0f8bf3d57e;CPF-6b8b31ae4057;Pessoa-b0e4a399;C01;Engenharia de Software;Campus Central;FORM;N;INTEGRIDADE:situacao_academica
MAT-bd7d2dbf37;CPF-4416ee890339;Pessoa-bf9e8997;C02;Ciencia da Computacao;Campus Norte;JUB;N;INTEGRIDADE:situacao_academica
MAT-afc5a36e3b;CPF-0890e908326a;Pessoa-0bc86bd0;C03;Administracao;Campus Sul;CANC;N;INTEGRIDADE:situacao_academica
